Epoch;train_loss;val_loss
0;16.98715782;4.331915379
1;4.690344334;3.225323915
2;3.822848082;2.826313972
3;3.465687037;2.63841033
4;3.260394812;2.500676632
5;3.123394966;2.393640518
6;3.022212744;2.311159849
7;2.945616484;2.276694775
8;2.881341934;2.212214231
9;2.828755379;2.16260004
10;2.783476353;2.129008055
11;2.744911432;2.177694082
12;2.713217497;2.107388735
13;2.683387041;2.076090813
14;2.654568434;2.043369055
15;2.631417274;2.028095245
16;2.609075308;2.025379419
17;2.588425636;2.033948183
18;2.568896294;2.009599209
19;2.55196929;1.969909668
20;2.537115097;1.966066241
21;2.5220716;1.966528893
22;2.508882046;1.994066358
23;2.496062517;1.917249918
24;2.482713461;1.914476633
